,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
74,8602623,,Nakskov St.,,54.833248872169,11.138192792463,0,,,
257,8602601,,Avnede St.,,54.829044870771,11.21521502896,0,,,
359,8602645,,Søllested St.,,54.810959183161,11.27016062816,0,,,
5818,46419,,Bandholmvej (Kragenæsvej),,54.903698755816,11.332316387356,0,,,
5831,46447,,Kragenæsvej 47 (Kragenæsvej),,54.915064181973,11.349873203548999,0,,,
6094,47320,,Nakskov Byskole (Nørrevold),,54.832502075560996,11.133637561228001,0,,,
6095,47352,,Vink - Kramnitsevej/Diget (Diget),,54.709411516149,11.247358485099001,0,,,
6191,47726,,Provstelunden (Bymøllevej),,54.904308924245996,11.110198280045,0,,,
6193,47728,,Grevevænget (Tårsvej),,54.876212934094,11.089259844902001,0,,,
6194,47729,,Grevevænget (Tårsvej),,54.876194704875005,11.089274489856,0,,,
6195,47730,,Bøgetvej (Ørnekulevej),,54.928799232211,11.192646335046,0,,,
6196,47731,,Bjælkehovedvej (Toftevej),,54.924856167841995,11.156316389459,0,,,
6197,47732,,Bjælkehovedvej (Toftevej),,54.925199627851,11.156209906995,0,,,
6199,47734,,Bøgelunden (H C Skottesvej),,54.9107822878,11.215131903779,0,,,
6200,47735,,Nylandsvej (Hovedgaden),,54.91439548177,11.222039909085,0,,,
6201,47736,,Nylandsvej (Hovedgaden),,54.914518917771,11.222171540488999,0,,,
6202,47737,,Egholmvej (Viemosevej),,54.923424810734,11.283842308864,0,,,
6203,47738,,Boligselskabet (Bandholmvej),,54.908063561386996,11.31230264339,0,,,
6349,48050,,Sukkerfabrikken (Maribovej),,54.831484733036,11.150027039665,0,,,
6351,48052,,Posthusvej (Vesterborgvej),,54.856103089869,11.272992523921001,0,,,
6381,48097,,Branderslevvej (Tårsvej),,54.861798592027,11.115534735102,0,,,
6382,48098,,Højagervej (Bøgetvej),,54.924491993562,11.191241442806001,0,,,
6383,48099,,Gallevej 60 (Gallevej),,54.920055159922,11.194527095027,0,,,
6386,48108,,Mosevej (Løjtoftevej),,54.848898780464,11.160502598521,0,,,
6388,48111,,Bådesgaardsvej (Skodsebøllevej),,54.776433143872005,11.227934986242001,0,,,
6404,48212,,Søgårdsvej (Vesternæsvej),,54.775752217862994,11.018319037108,0,,,
6405,48213,,Langøparken (Langøvej),,54.809441639642,11.01722845816,0,,,
6406,48214,,Stendyssevej (Langøvej),,54.81168200946,11.017635816688001,0,,,
6425,45535,,Vink - Nørregård (Almindevej),,54.763446054471,11.261327791519001,0,,,
6590,40239,,Rårup (Rårupvænget),,54.794524945493,11.100646986032,0,,,
6591,40243,,Næsby (Vestenskovvej),,54.774094893885,11.076031337851,0,,,
6593,40247,,Kappel Skole (Kappelvej),,54.773887903324,11.034676657551,0,,,
6600,40251,,Vesternæs (Vesternæsvej),,54.775875097667,11.010379432567001,0,,,
12506,48833,,Søllested St. (Jernbanegade),,54.810828522174994,11.270417881184,0,,,
